date,unscheduled,forecast,confcall
2006-01-31,False,False,False
2006-03-28,False,False,False
2006-05-10,False,False,False
2006-06-29,False,False,False
2006-08-08,False,False,False
2006-09-20,False,False,False
2006-10-25,False,False,False
2006-12-12,False,False,False
2007-01-31,False,False,False
2007-03-21,False,False,False
2007-05-09,False,False,False
2007-06-28,False,False,False
2007-08-07,False,False,False
2007-08-10,False,False,True
2007-08-16,False,False,True
2007-09-18,False,False,False
2007-10-31,False,False,False
2007-12-06,False,False,True
2007-12-11,False,False,False
2008-01-09,False,False,True
2008-01-21,False,False,True
2008-01-30,False,False,False
2008-03-10,False,False,True
2008-03-18,False,False,False
2008-04-30,False,False,False
2008-06-25,False,False,False
2008-07-24,False,False,True
2008-08-05,False,False,False
2008-09-16,False,False,False
2008-09-29,False,False,True
2008-10-07,False,False,True
2008-10-29,False,False,False
2008-12-16,False,False,False
2009-01-16,False,False,True
2009-01-28,False,False,False
2009-02-07,False,False,True
2009-03-18,False,False,False
2009-04-29,False,False,False
2009-06-03,False,False,True
2009-06-24,False,False,False
2009-08-12,False,False,False
2009-09-23,False,False,False
2009-11-04,False,False,False
2009-12-16,False,False,False
2010-01-27,False,False,False
2010-03-16,False,False,False
2010-04-28,False,False,False
2010-05-09,False,False,True
2010-06-23,False,False,False
2010-08-10,False,False,False
2010-09-21,False,False,False
2010-10-15,False,False,True
2010-11-03,False,False,False
2010-12-14,False,False,False
2011-01-26,False,False,False
2011-03-15,False,False,False
2011-04-27,False,False,False
2011-06-22,False,False,False
2011-08-01,False,False,True
2011-08-09,False,False,False
2011-09-21,False,False,False
2011-11-02,False,False,False
2011-11-28,False,False,True
2011-12-13,False,False,False
2012-01-25,False,False,False
2012-03-13,False,False,False
2012-04-25,False,False,False
2012-06-20,False,False,False
2012-08-01,False,False,False
2012-09-13,False,False,False
2012-10-24,False,False,False
2012-12-12,False,False,False
2013-01-30,False,False,False
2013-03-20,False,False,False
2013-05-01,False,False,False
2013-06-19,False,False,False
2013-07-31,False,False,False
2013-09-18,False,False,False
2013-10-16,True,False,False
2013-10-30,False,False,False
2013-12-18,False,False,False
2014-01-29,False,False,False
2014-03-04,True,False,False
2014-03-19,False,False,False
2014-04-30,False,False,False
2014-06-18,False,False,False
2014-07-30,False,False,False
2014-09-17,False,False,False
2014-10-29,False,False,False
2014-12-17,False,False,False
2016-01-27,False,False,False
2016-03-16,False,True,False
2016-04-27,False,False,False
2016-06-15,False,True,False
2016-07-27,False,False,False
2016-09-21,False,True,False
2016-11-02,False,False,False
2016-12-14,False,True,False
2017-02-01,False,False,False
2017-03-15,False,True,False
2017-05-03,False,False,False
2017-06-14,False,True,False
2017-07-26,False,False,False
2017-09-20,False,True,False
2017-11-01,False,False,False
2017-12-13,False,True,False
2018-01-31,False,False,False
2018-03-21,False,True,False
2018-05-02,False,False,False
2018-06-13,False,True,False
2018-08-01,False,False,False
2018-09-26,False,True,False
2018-11-08,False,False,False
2018-12-19,False,True,False
2019-01-30,False,False,False
2019-03-20,False,True,False
2019-05-01,False,False,False
2019-06-19,False,True,False
2019-07-31,False,False,False
2019-09-18,False,True,False
2019-10-04,True,False,False
2019-10-30,False,False,False
2019-12-11,False,True,False
2020-01-29,False,False,False
2020-03-03,True,False,False
2020-03-15,True,False,False
2020-03-19,False,False,False
2020-03-23,False,False,False
2020-03-31,False,False,False
2020-04-29,False,False,False
2020-06-10,False,True,False
2020-07-29,False,False,False
2020-08-27,False,False,False
2020-09-16,False,True,False
2020-11-05,False,False,False
2020-12-16,False,True,False
2021-01-27,False,False,False
2021-03-17,False,True,False
2021-04-28,False,False,False
2021-06-16,False,True,False
2021-07-28,False,False,False
2021-09-22,False,True,False
2021-11-03,False,False,False
2021-12-15,False,True,False
